Name,Status,Amount,Internal ID,Item
CINCINNATI CHILDREN'S HOSPITAL,Paid In Full,.00,1980,Freight
CINCINNATI CHILDREN'S HOSPITAL,Paid In Full,.00,1980,OFR10IW
CINCINNATI CHILDREN'S HOSPITAL,Paid In Full,.00,1980,RCC-HO30
SANITATION DISTRICT #1,Paid In Full,2880.00,2093,Onsite Installation
Gorilla Glue,Paid In Full,24343.50,3036,E-A-W-16-4
Gorilla Glue,Paid In Full,250.00,3036,Freight
Gorilla Glue,Paid In Full,500.00,3036,MISC. MATERIAL
Gorilla Glue,Paid In Full,9000.00,3036,Onsite Installation
Gorilla Glue,Paid In Full,1499.40,3036,QT-300
Indiana University,Paid In Full,5750.00,8826,MISC. MATERIAL
Indiana University,Paid In Full,2006.25,8826,MISC. MATERIAL
Indiana University,Paid In Full,6781.25,8826,MISC. MATERIAL
Indiana University,Paid In Full,195.00,8826,MISC. MATERIAL
Indiana University,Paid In Full,6240.00,8826,ML100G-40
Indiana University,Paid In Full,3640.00,8826,Onsite Installation
Medxcel,Paid In Full,12.25,10110,152G6U0007
Medxcel,Paid In Full,12.25,10110,152G6U0007
Medxcel,Paid In Full,4.20,10110,152G6U0015
Medxcel,Paid In Full,4.20,10110,152G6U0015
Medxcel,Paid In Full,1302.02,10110,7090043790948
Medxcel,Paid In Full,1302.02,10110,7090043790948
Medxcel,Paid In Full,796.95,10110,AM-3200-WF
Medxcel,Paid In Full,796.95,10110,AM-3200-WF
Medxcel,Paid In Full,327.60,10110,C-IC6 White
Medxcel,Paid In Full,327.60,10110,C-IC6 White
Medxcel,Paid In Full,5.04,10110,CBL-AUDIO-6
Medxcel,Paid In Full,5.04,10110,CBL-AUDIO-6
Medxcel,Paid In Full,230.54,10110,CSSLP15X10
Medxcel,Paid In Full,230.54,10110,CSSLP15X10
Medxcel,Paid In Full,312.50,10110,Freight
Medxcel,Paid In Full,312.50,10110,Freight
Medxcel,Paid In Full,441.00,10110,HD-CTL-101
Medxcel,Paid In Full,441.00,10110,HD-CTL-101
Medxcel,Paid In Full,28.72,10110,HDPMM06F
Medxcel,Paid In Full,28.72,10110,HDPMM06F
Medxcel,Paid In Full,945.00,10110,Installation Materials and Supplies
Medxcel,Paid In Full,945.00,10110,Installation Materials and Supplies
Medxcel,Paid In Full,4284.00,10110,Onsite Installation
Medxcel,Paid In Full,4284.00,10110,Onsite Installation
Medxcel,Paid In Full,3248.28,10110,QB85C
Medxcel,Paid In Full,3248.28,10110,QB85C
Medxcel,Paid In Full,305.55,10110,Tesira AMP-450BP
Medxcel,Paid In Full,305.55,10110,Tesira AMP-450BP
Medxcel,Paid In Full,1941.03,10110,TesiraFORTE X 800​
Medxcel,Paid In Full,1941.03,10110,TesiraFORTE X 800​
Medxcel,Paid In Full,2310.21,10110,UC-CX100-T
Medxcel,Paid In Full,2310.21,10110,UC-CX100-T
Medxcel,Paid In Full,326.78,10110,XTM1U
Medxcel,Paid In Full,326.78,10110,XTM1U
Medxcel,Paid In Full,7.29,10112,152G6U0007
Medxcel,Paid In Full,7.29,10112,152G6U0007
Medxcel,Paid In Full,4.17,10112,152G6U0015
Medxcel,Paid In Full,4.17,10112,152G6U0015
Medxcel,Paid In Full,809.60,10112,AM-3200-WF
Medxcel,Paid In Full,809.60,10112,AM-3200-WF
Medxcel,Paid In Full,76.24,10112,CSSLP15X10
Medxcel,Paid In Full,76.24,10112,CSSLP15X10
Medxcel,Paid In Full,375.00,10112,Freight
Medxcel,Paid In Full,375.00,10112,Freight
Medxcel,Paid In Full,218.75,10112,HD-CTL-101
Medxcel,Paid In Full,218.75,10112,HD-CTL-101
Medxcel,Paid In Full,28.50,10112,HDPMM06F
Medxcel,Paid In Full,28.50,10112,HDPMM06F
Medxcel,Paid In Full,125.00,10112,Installation Materials and Supplies
Medxcel,Paid In Full,62.30,10112,Installation Materials and Supplies
Medxcel,Paid In Full,125.40,10112,MTA1U
Medxcel,Paid In Full,1275.00,10112,Onsite Installation
Medxcel,Paid In Full,1275.00,10112,Onsite Installation
Medxcel,Paid In Full,2346.88,10112,UC-CX100-T
Medxcel,Paid In Full,2346.88,10112,UC-CX100-T
Medxcel,Paid In Full,768.00,10112,UC-SB-P50
Medxcel,Paid In Full,768.00,10112,UC-SB-P50
Medxcel,Paid In Full,19.44,10115,152G6U0007
Medxcel,Paid In Full,33.36,10115,152G6U0015
Medxcel,Paid In Full,2500.00,10115,7090043790948
Medxcel,Paid In Full,1581.25,10115,AM-3200-WF
Medxcel,Paid In Full,650.00,10115,C-IC6 White
Medxcel,Paid In Full,7.50,10115,CBL-AUDIO-12
Medxcel,Paid In Full,304.94,10115,CSSLP15X10
Medxcel,Paid In Full,625.00,10115,Freight
Medxcel,Paid In Full,437.50,10115,HD-CTL-101
Medxcel,Paid In Full,85.50,10115,HDPMM06F
Medxcel,Paid In Full,1250.00,10115,Installation Materials and Supplies
Medxcel,Paid In Full,174.56,10115,MTM1U
Medxcel,Paid In Full,3938.75,10115,MXA920W-S
Medxcel,Paid In Full,9350.00,10115,Onsite Installation
Medxcel,Paid In Full,950.00,10115,Programming
Medxcel,Paid In Full,606.25,10115,Tesira AMP-450BP
